StudyID,SampleID,ESID,Authors,PubYear,r,n,Corrz,Varz,SEz,Gender,Raceethnic,Continent,Grade,Lowability,Teachers,Childanx,Adoladultanx,MvSanx,Anxcomp,Achmeas,Mathcont,Pub
954,151,335,Watts,2011,-0.120,66,-0.124641470,0.015873016,0.125988158,1,2,1,5,2,2,-999,1,1,-999.00,1,-999,1
954,152,336,Watts,2011,-0.330,41,-0.347323778,0.026315789,0.162221421,0,2,1,5,2,2,-999,1,1,-999.00,1,-999,1
973,153,337,Donelle,2007,-0.110,140,-0.110446916,0.007299270,0.085435766,-999,-999,1,6,2,2,-999,1,1,6.00,2,-999,1
973,153,338,Donelle,2007,-0.270,140,-0.275785504,0.007299270,0.085435766,-999,-999,1,6,2,2,-999,1,1,6.00,2,-999,1
973,153,339,Donelle,2007,-0.380,140,-0.398891398,0.007299270,0.085435766,-999,-999,1,6,2,2,-999,1,1,6.00,2,-999,1
975,154,340,Pajares & Kranzler,1995,-0.460,329,-0.497311288,0.003067485,0.055384878,-999,1,1,4,2,2,-999,7,1,-999.00,3,-999,0
979,155,341,Lloyd & Robertson,2012,-0.200,29,-0.200650085,0.038461538,0.196116135,-999,-999,1,5,2,2,-999,7,1,-999.00,4,8,0
985,156,342,"Townsend, Moore, Tuck, & Wilton",1998,-0.060,88,-0.060072156,0.011764706,0.108465229,-999,-999,6,5,2,2,-999,7,1,-999.00,4,8,0
985,156,343,"Townsend, Moore, Tuck, & Wilton",1998,-0.080,88,-0.080171325,0.011764706,0.108465229,-999,-999,6,5,2,2,-999,7,1,-999.00,4,8,0
988,157,344,"Luo, Hogan, Tan, Kaur, Ng, & Chan",2014,-0.080,1196,-0.080171325,0.000838223,0.028952081,-999,-999,4,4,2,2,-999,5,1,-999.00,1,-999,0
988,157,345,"Luo, Hogan, Tan, Kaur, Ng, & Chan",2014,-0.290,1196,-0.298566264,0.000838223,0.028952081,-999,-999,4,4,2,2,-999,5,1,-999.00,3,-999,0
