"","study","pubyear","sno","mno","cntry","pubtype","manip","color","n1","n2","n","sample","female","age","m1","sd1","m2","sd2","t","F","d","stat","page","rec","test","testcat","matched","calib","mode","dur","design","note","yi","vi","color2"
"11","castell2018",2018,8,2,"DE","Journal","Color of room","blue",43,39,82,"High school students",51.4792899408284,18.58,27.56,12.22,23.72,18.52,NA,NA,NA,NA,NA,0,"Mental rotation","Reasoning","not matched",0,"paper","during","between","statistics provided by personal communication",0.244868488375159,0.04926245286646,"blue"
"12","drummond2017",2017,9,1,"US","Thesis/Presentation","Ink color of items","green",30,31,61,"Undergraduates",73,20,7.98,3.55,10.93,6.74,NA,NA,NA,NA,"p7",0,"Anagram test","Anagrams","not matched",0,"paper","during","between",NA,-0.538094454886271,0.0679647227869981,"green"
"13","drummond2017",2017,9,1,"US","Thesis/Presentation","Ink color of items","black",40,40,80,"Undergraduates",73,20,7.98,3.55,8.35,4.53,NA,NA,NA,NA,"p7",0,"Anagram test","Anagrams","not matched",0,"paper","during","between",NA,-0.0900408517867094,0.0500506709686905,"other"
"14","elliot2007",2007,10,1,"US","Journal","Ink color of respondent ID on each page","green",19,27,46,"Undergraduates",74.6478873239437,20.2,5.105,2.157,5.296,2.398,-2.11,NA,NA,NA,NA,0,"Anagram test","Anagrams","not matched",0,"paper","during","between","experiment 1; statistics provided by personal communication",-0.0815326685180802,0.0897408722456628,"green"
"15","elliot2007",2007,10,1,"US","Journal","Ink color of respondent ID on each page","black",19,25,44,"Undergraduates",74.6478873239437,20.2,5.105,2.157,5.68,3.145,-2.33,NA,NA,NA,NA,0,"Anagram test","Anagrams","not matched",0,"paper","during","between","experiment 1; statistics provided by personal communication",-0.204210413192422,0.0931054640934618,"other"
"16","elliot2007",2007,11,1,"DE","Journal","Colored rectangle on cover sheet","green",15,15,30,"Undergraduates",91.304347826087,21.67,10.333,2.794,13.333,1.799,-3.78,NA,NA,NA,NA,0,"Verbal analogies","Reasoning","not matched",0,"paper","before","between","experiment 2; statistics provided by personal communication",-1.24221479764626,0.159051626724856,"green"
"17","elliot2007",2007,11,1,"DE","Journal","Colored rectangle on cover sheet","white",15,16,31,"Undergraduates",91.304347826087,21.67,10.333,2.794,12.75,1.879,-3.26,NA,NA,NA,NA,0,"Verbal analogies","Reasoning","not matched",0,"paper","before","between","experiment 2; statistics provided by personal communication",-0.995185076888759,0.145140752751539,"other"
"18","elliot2007",2007,12,1,"DE","Journal","Colored rectangle on cover sheet","green",10,12,22,"High school students",83.3333333333333,17.3,10,1.944,13.25,2.179,-4.81,NA,NA,NA,NA,0,"Verbal analogies","Reasoning","not matched",0,"paper","before","between","experiment 3; statistics provided by personal communication",-1.50566649482697,0.234856778643436,"green"
"19","elliot2007",2007,12,1,"DE","Journal","Colored rectangle on cover sheet","gray",10,8,18,"High school students",83.3333333333333,17.3,10,1.94,11.75,2.493,-3.29,NA,NA,NA,NA,0,"Verbal analogies","Reasoning","not matched",0,"paper","before","between","experiment 3; statistics provided by personal communication",-0.757880463483299,0.240955077692491,"gray"
"20","elliot2007",2007,13,1,"DE","Journal","Colored rectangle on cover sheet","green",18,22,40,"High school students",56.140350877193,17.88,6.67,2.473,7.82,1.816,-2.2,NA,NA,NA,NA,0,"Numeric reasoning","Reasoning","matched",0,"paper","before","between","experiment 4; statistics provided by personal communication",-0.527925232539271,0.104493914149497,"green"
"21","elliot2007",2007,13,1,"DE","Journal","Colored rectangle on cover sheet","gray",18,17,35,"High school students",56.140350877193,17.88,6.67,2.473,7.76,1.921,-2.21,NA,NA,NA,NA,0,"Numeric reasoning","Reasoning","matched",0,"paper","before","between","experiment 4; statistics provided by personal communication",-0.479196187751987,0.117659499058121,"gray"
"22","elliot2019",2019,14,1,"US","Journal","Text color of items","green",20,20,40,"Undergraduates",82.5,20.03,3.575,1.933,3.375,2.059,NA,NA,NA,NA,NA,0,"Anagram performance","Anagrams","not matched",0,"computer","during","within","experiment 1; statistics provided by personal communication",0.0981607811299818,0.100120444236901,"green"
"23","elliot2019",2019,15,1,"US","Journal","Background color of computer screen","green",68,67,135,"Undergraduates",76.2962962962963,19.82,3.363,1.923,3.163,1.788,NA,NA,NA,NA,NA,0,"Anagram performance","Anagrams","not matched",0,"computer","during","within","experiment 2; statistics provided by personal communication",0.107107839564903,0.0296737447068853,"green"
"24","gnambs2010",2010,16,1,"AT","Journal","Progress bar of online survey","green",66,65,131,"Undergraduates",69.4656488549618,25.1,NA,NA,NA,NA,2.93938769133981,8.64,NA,NA,NA,1,"General knowledge","Knowledge","matched",0,"computer","during","between","study 1",-0.510653843361088,0.0315314257565101,"green"
"25","gnambs2010",2010,17,1,"DE","Journal","Submit button of online survey","blue",71,62,133,"Undergraduates",52.1052631578947,24.3,42.76,15.27,43.34,15.75,NA,NA,NA,NA,NA,0,"General knowledge","Knowledge","matched",0,"computer","during","between","study 2; red on each page",-0.0372158496299192,0.030218746140407,"blue"
"26","gnambs2010",2010,17,1,"DE","Journal","Submit button of online survey","blue",71,57,128,"Undergraduates",52.1052631578947,24.3,42.76,15.27,43.91,13.47,NA,NA,NA,NA,NA,0,"General knowledge","Knowledge","matched",0,"computer","before","between","study 2; red on first page only",-0.078850279289921,0.0316526532794392,"blue"
"27","gnambs2015",2015,18,1,"AT","Journal","Colored rectangle on cover sheet","gray",50,47,97,"High school students",62.89,16.55,11.85,4.7,12.27,4.53,NA,NA,NA,NA,NA,0,"General knowledge","Knowledge","matched",0,"paper","before","between","only subsample with gray learning text",-0.090219456061701,0.0413185521892791,"gray"
"28","hulshof2013",2013,19,1,"NL","Thesis/Presentation","Color of room","blue",62,60,122,"Adults",40.2,30.07,7.97,1.09,8.42,1.36,NA,NA,NA,NA,"p36, tables 4.3/4.4",0,"General intelligence","Reasoning","not matched",0,"paper","during","between",NA,-0.363509743482232,0.0333372535706595,"blue"
"29","larsson2015",2015,21,1,"UK","Journal","Ink color of respondent ID on each page","green",84,101,185,"Adults",51.5,34.6,7.07,3.89,7.52,3.63,NA,NA,NA,NA,"p136, table 1",0,"Letter sets","Reasoning","not matched",0,"paper","during","between",NA,-0.119502490284579,0.0218443488826481,"green"
"30","larsson2015",2015,21,2,"UK","Journal","Ink color of respondent ID on each page","green",86,101,187,"Adults",51.5,34.6,9.9,3.74,10.25,3.14,NA,NA,NA,NA,"p136, table 1",0,"Vocabulary","Knowledge","not matched",0,"paper","during","between",NA,-0.101663963870366,0.0215565322670638,"green"
